Total Amt,Fee Surcharge Type 1,Fee Type Charges 1,Fee Surcharge Type 2,Fee Type Charges 2,Fee Surcharge Type 3,Fee Type Charges 3,Fee Surcharge Type 4,Fee Type Charges 4,Fee Surcharge Type 5,Fee Type Charges 5,Merchant Name,Merchant Number,Invoice Date,Invoice Number,Warehouse Name,Order Number,Order Date,Drop Ship Name,Shipment ID,No. of Pkgs,Received Date,Tracking Number,Pkg Reference,Dim Weight,Weight,Height,Width,Length,No. of Pieces,"Contents (SKU-Qty,SKU-Qty)",Company,Address 1,Address 2,City,State,Postal Code,Country,Ship From Zip,Zone,Carrier,Class of Service,Transmitted Shipping Method,Actual Shipping Method,Shipped Date,Fee Category,Ngs Postage Key,Fee Surcharge Type 6,Fee Type Charges 6,Fee Surcharge Type 7,Fee Type Charges 7,Fee Surcharge Type 8,Fee Type Charges 8,Fee Surcharge Type 9,Fee Type Charges 9,Fee Surcharge Type 10,Fee Type Charges 10
4.42,Base Fee,4.42,,,,,,,,,Quip,2731,,,"Hebron, KY",f2129383-6c64-4984-8532-ce38affc24ee,10/18/24,,318816318,1,10/18/24,9.40011E+21,1.57032E+14,,0.35,6,2,9,1,"900-00190,1",,,,,,9777,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/18/24,Postage,178510901,,,,,,,,,,
1.25,Base Fee,1.25,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311012566,,,2.71202E+17,1.57031E+14,,0.11,5.63,0.75,10.5,,",",,,,,,19114,US,,4,,,,,6/24/24,Postage,178328066,,,,,,,,,,
4.15,Base Fee,4.15,,,,,,,,,Quip,2731,,,"Hebron, KY",f5f029e5-91d6-48af-a424-957c23d1b79a,10/14/24,,318269266,1,10/14/24,9.40011E+21,1.57032E+14,,0.07,6,2,9,1,"900-00360,2",,,,,,3580,US,41048,5,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/15/24,Postage,178463592,,,,,,,,,,
10.88,Base Fee,10.88,,,,,,,,,Quip,2731,,,"Hebron, KY",ec75b299-cd81-402c-b320-618bf5420dcf,10/8/24,,317917364,1,10/8/24,9.40551E+21,1.57032E+14,,0.09,6,2,9,1,"200-00001,1,900-00180,1",,,,,,85054,US,41048,7,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/8/24,Postage,178328764,,,,,,,,,,
1.25,Base Fee,1.25,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,311072740,,,2.71202E+17,1.57031E+14,,0.11,5.63,0.75,10.5,,",",,,,,,11104,US,,4,,,,,6/24/24,Postage,178328073,,,,,,,,,,
11.68,Base Fee,11.68,,,,,,,,,Quip,2731,,,"Hebron, KY",6e23cfc6-4451-449b-a13c-3b8720a53f3c,10/10/24,,318003008,1,10/10/24,9.40551E+21,1.57032E+14,,0.78,9.13,0.5,14.63,1,"900-00096,1",,,,,,95060,US,41048,8,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/10/24,Postage,178345229,,,,,,,,,,
14.46,Base Fee,14.46,,,,,,,,,Quip,2731,,,"Hebron, KY",575335f8-f2dc-4f38-9dea-9840605540b1,10/9/24,,317968140,1,10/9/24,9.40551E+21,1.57032E+14,,1.06,8.3,2.2,13,1,"200-00001,1,900-00180,1,900-00190,1,900-00338,2",,,,,,92656,US,41048,8,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/10/24,Postage,178337071,,,,,,,,,,
4.42,Base Fee,4.42,,,,,,,,,Quip,2731,,,"Hebron, KY",16c3c3f6-b92c-483b-8693-f4cb745f5023,10/14/24,,318266550,1,10/14/24,9.40011E+21,1.57032E+14,,0.39,6,2,9,1,"900-00102,2,900-00190,1",,,,,,9902,US,41048,3,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/14/24,Postage,178381133,,,,,,,,,,
1.31,Base Fee,1.31,,,,,,,,,Quip,2731,,,"Hebron, KY",,,,310974604,,,2.71202E+17,1.57031E+14,,0.13,5.63,0.75,10.5,,",",,,,,,11566,US,,4,,,,,6/24/24,Postage,178328085,,,,,,,,,,
4.5,Base Fee,4.5,,,,,,,,,Quip,2731,,,"Hebron, KY",b89cafd9-a58f-463b-9b18-dda0606ba7f5,10/15/24,,318302056,1,10/15/24,9.40011E+21,1.57032E+14,,0.4,6,2,9,1,"200-00001,1,900-00109,1,900-00190,1",,,,,,11789,US,41048,5,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/15/24,Postage,178452882,,,,,,,,,,
4.48,Base Fee,4.48,,,,,,,,,Quip,2731,,,"Hebron, KY",d45dc724-cbe0-4f4e-8afe-45915a556d07,10/10/24,,317974584,1,10/10/24,9.40011E+21,1.57032E+14,,0.08,6,2,9,1,"200-00001,1,900-00109,1",,,,,,670,US,41048,7,Pitney Bowes USPS,FCP,PB USPS First Class Package,PB USPS First Class Package,10/10/24,Postage,178333201,,,,,,,,,,
8.39,Base Fee,8.39,,,,,,,,,Quip,2731,,,"Hebron, KY",0bdf8002-cc48-4a22-9ba6-32e4bb1e29fe,10/8/24,,317775826,1,10/8/24,9.40551E+21,1.57032E+14,,0.06,6,2,9,1,"900-00287,1",,,,,,37208,US,41048,3,Pitney Bowes USPS,PM,PB USPS Priority Mail,PB USPS Priority Mail,10/8/24,Postage,178328712,,,,,,,,,,
